order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,discount_percent,subtotal,shipping_cost,tax_amount,total_amount,payment_method,order_status,shipping_method,order_channel,coupon_code,estimated_delivery_days,customer_rating,return_reason
6223955,509880,2024-01-01,Clothing,Summer Dress,1,88.63,0,88.63,0.0,5.32,93.95,Credit Card,Delivered,Standard,Website,,7,5.0,
9402337,525803,2024-01-03,Office Supplies,Label Maker,1,37.28,0,37.28,5.99,3.73,47.0,Credit Card,Delivered,Standard,Website,,7,5.0,
6724415,112534,2024-01-04,Sports & Outdoors,Adjustable Dumbbell Set,1,128.09,25,96.07,0.0,6.0,102.07,Apple Pay,Delivered,Standard,Mobile App,SUMMER10,7,4.0,
5227518,562598,2024-01-05,Books,Historical Biography,2,32.84,15,55.83,14.99,4.61,75.43,Credit Card,Cancelled,Express,Website,WELCOME10,3,,
9958502,914384,2024-01-06,Beauty & Personal Care,Electric Toothbrush,2,33.15,0,66.3,5.99,4.14,76.43,Debit Card,Returned,Standard,Mobile App,,7,,Defective Item
3876177,529534,2024-01-06,Office Supplies,Printer Paper Ream,6,55.87,5,318.46,12.99,25.48,356.93,PayPal,Shipped,Express,Marketplace,FREESHIP,3,,
8221434,353006,2024-01-07,Sports & Outdoors,Camping Tent,1,30.31,20,24.25,0.0,3.88,28.13,Credit Card,Returned,Free Pickup,Mobile App,VIP15,0,,Defective Item
1583466,922291,2024-01-08,Electronics,Portable Charger,1,252.49,15,214.62,12.99,12.88,240.49,PayPal,Delivered,Express,Website,FLASH30,3,,
7869286,146484,2024-01-08,Books,Personal Finance 101,3,18.51,5,52.75,5.99,4.35,63.09,PayPal,Delivered,Standard,Mobile App,SAVE20,7,2.0,
8880117,725085,2024-01-09,Home & Kitchen,Cotton Bed Sheets,1,97.61,0,97.61,0.0,6.1,103.71,Apple Pay,Delivered,Free Pickup,Website,,0,4.0,
4693144,771645,2024-01-11,Home & Kitchen,Vacuum Cleaner,1,350.0,0,350.0,0.0,21.0,371.0,Credit Card,Delivered,Standard,Website,,7,,
7206959,805419,2024-01-12,Clothing,Wool Sweater,1,76.2,15,64.77,27.99,3.89,96.65,Credit Card,Delivered,Next-Day,Mobile App,SAVE20,1,5.0,
6146549,131194,2024-01-15,Sports & Outdoors,Resistance Bands Set,1,87.94,5,83.54,24.99,5.22,113.75,PayPal,Returned,Next-Day,Website,FREESHIP,1,,Wrong Size
7849786,257536,2024-01-16,Office Supplies,Printer Paper Ream,4,17.14,30,47.99,14.99,3.0,65.98,Credit Card,Delivered,Express,Website,FLASH30,3,,
2173216,974063,2024-01-16,Home & Kitchen,Cotton Bed Sheets,3,273.52,0,820.56,0.0,67.7,888.26,Credit Card,Delivered,Standard,Website,,7,4.0,
5281107,686412,2024-01-17,Books,Children's Picture Book,2,34.66,0,69.32,5.99,4.33,79.64,Credit Card,Delivered,Standard,Website,,7,4.0,
1965832,182540,2024-01-17,Home & Kitchen,Stand Mixer,1,116.19,0,116.19,12.99,9.3,138.48,Gift Card,Delivered,Express,Website,,3,5.0,
4992316,867333,2024-01-17,Home & Kitchen,Memory Foam Pillow,1,87.56,0,87.56,12.99,5.25,105.8,Debit Card,Delivered,Express,Website,,3,4.0,
1087130,887116,2024-01-19,Home & Kitchen,Stand Mixer,2,162.3,0,324.6,0.0,19.48,344.08,Credit Card,Delivered,Standard,Mobile App,,7,,
3120093,304008,2024-01-20,Books,Mystery Novel,1,11.12,0,11.12,5.99,0.67,17.78,PayPal,Returned,Standard,Website,,7,,Not as Described
3973144,221043,2024-01-20,Beauty & Personal Care,Hair Dryer,1,24.93,0,24.93,14.99,1.56,41.48,Debit Card,Delivered,Express,Mobile App,,3,4.0,
6436298,512993,2024-01-21,Books,Cookbook: Weeknight Dinners,2,23.56,5,44.76,5.99,2.8,53.55,Credit Card,Delivered,Standard,Marketplace,SUMMER10,7,4.0,
5619163,773540,2024-01-21,Books,Personal Finance 101,3,10.0,0,30.0,5.99,6.0,41.99,Debit Card,Delivered,Standard,Website,,7,4.0,
6556410,914384,2024-01-22,Books,Mystery Novel,1,25.52,0,25.52,0.0,1.53,27.05,Credit Card,Delivered,Free Pickup,Mobile App,,0,4.0,
7317023,914136,2024-01-22,Clothing,Winter Parka,2,24.93,0,49.86,14.99,2.99,67.84,Credit Card,Cancelled,Express,Marketplace,,3,,
8099501,799804,2024-01-22,Electronics,Streaming Media Player,2,617.36,0,1234.72,0.0,101.86,1336.58,Credit Card,Returned,Standard,Marketplace,,7,,Arrived Late
4874050,501851,2024-01-23,Electronics,Laptop Stand,5,715.74,15,3041.9,0.0,395.45,3437.35,PayPal,Delivered,Standard,Marketplace,HOLIDAY25,7,,
3611272,212415,2024-01-27,Toys & Games,Board Game Classic,1,20.34,0,20.34,5.99,1.22,27.55,Google Pay,Returned,Standard,Mobile App,,7,,Changed Mind
9460144,622669,2024-01-27,Grocery,Granola Cereal,2,12.79,0,25.58,5.99,1.53,33.1,Apple Pay,Delivered,Standard,Website,,7,,
8896122,206604,2024-01-27,Clothing,Winter Parka,1,15.01,20,12.01,5.99,1.56,19.56,PayPal,Delivered,Standard,Mobile App,SAVE20,7,,
3701944,757288,2024-01-27,Clothing,Rain Jacket,1,50.72,0,50.72,27.99,5.07,83.78,Google Pay,Delivered,Next-Day,Website,,1,4.0,
9219874,773540,2024-01-28,Home & Kitchen,Memory Foam Pillow,4,143.42,0,573.68,0.0,35.85,609.53,Credit Card,Delivered,Standard,Mobile App,,7,,
5373351,842688,2024-01-29,Toys & Games,Remote Control Car,3,49.73,20,119.35,12.99,9.85,142.19,Credit Card,Delivered,Express,Website,FLASH30,3,4.0,
4871779,972701,2024-01-29,Clothing,Women's Yoga Pants,2,54.29,0,108.58,0.0,6.79,115.37,Debit Card,Delivered,Standard,Website,,7,,
3863310,924384,2024-01-30,Electronics,Wireless Earbuds,3,438.58,5,1249.95,0.0,75.0,1324.95,PayPal,Returned,Standard,Website,HOLIDAY25,7,,Not as Described
1172391,513724,2024-02-01,Electronics,Wireless Earbuds,1,62.83,0,62.83,5.99,5.18,74.0,Google Pay,Delivered,Standard,Marketplace,,7,4.0,
1447635,983619,2024-02-02,Pet Supplies,Pet Food Bowl Set,3,135.15,0,405.45,0.0,33.45,438.9,Credit Card,Delivered,Standard,Website,,7,4.0,
2720543,392938,2024-02-03,Toys & Games,Remote Control Car,3,23.99,0,71.97,5.99,5.94,83.9,Credit Card,Returned,Standard,Website,,7,,Arrived Late
6599216,634127,2024-02-04,Beauty & Personal Care,Vitamin C Serum,1,41.92,0,41.92,14.99,3.35,60.26,Credit Card,Delivered,Express,Marketplace,,3,5.0,
9663260,578841,2024-02-05,Office Supplies,Label Maker,3,183.59,0,550.77,0.0,104.65,655.42,Credit Card,Delivered,Standard,Marketplace,,7,3.0,
2254898,215098,2024-02-06,Grocery,Pasta Variety Pack,6,28.5,0,171.0,0.0,34.2,205.2,Google Pay,Delivered,Standard,Mobile App,,7,,
5459648,773267,2024-02-07,Sports & Outdoors,Hiking Backpack,2,110.58,0,221.16,0.0,44.23,265.39,PayPal,Delivered,Standard,Marketplace,,7,,
3700405,196023,2024-02-07,Sports & Outdoors,Camping Tent,2,35.14,0,70.28,5.99,4.22,80.49,Apple Pay,Delivered,Standard,Marketplace,,7,5.0,
1298188,800045,2024-02-08,Clothing,Baseball Cap,1,36.02,0,36.02,5.99,2.97,44.98,Credit Card,Cancelled,Standard,Marketplace,,7,,
8041180,865643,2024-02-09,Toys & Games,Board Game Classic,1,22.92,0,22.92,5.99,3.67,32.58,Apple Pay,Delivered,Standard,Website,,7,4.0,
